State,Rank,School,Students,School URL,Computer Science URL,First class in CS program,Class found URL,Language used,Language found URL,CS phone ,CS email,Answer through call,Answer through email
Minnesota,3,University of Minnesota Duluth,10079,http://www.d.umn.edu/,http://www.d.umn.edu/cs/,CS 1511 - Computer Science I,https://onestop2.umn.edu//pcas/viewCatalogProgram.do?programID=439&strm=1149,C++,http://www.d.umn.edu/~jallert/syl/cs1511f15syl.html,218-726-7607,cs@d.umn.edu,,
Minnesota,4,Winona State University,8253,http://www.winona.edu/,http://cs.winona.edu/,CS 471 - Object Oriented Design and Development,http://catalog.winona.edu/preview_program.php?catoid=12&poid=2539&returnto=1053,Java,,507-457-5261,ndebnath@winona.edu,,Yes
Minnesota,5,Metropolitan State University,7595,http://www.metrostate.edu/,http://www.metrostate.edu/msweb/explore/cas/departments/csci/computer_science/,ICS 140 Programming Fundamentals,http://www.metrostate.edu/msweb/explore/catalog/undergrad/index.cfm?lvl=U&section=1&page_name=computer_science_bs.html,Python,http://www.metrostate.edu/msweb/explore/catalog/undergrad/index.cfm?lvl=U&section=1&page_name=computer_science_bs.html,651-793-1471,informationcomputerscience@metrostate.edu,,
Minnesota,6,Southwest Minnesota State University,6622,http://www.smsu.edu/,http://www.smsu.edu/Academics/Programs/ComputerScience/,COMP 165: Fundamentals of Programming ,http://www.smsu.edu/catalog/?program=55,Python,,507-537-6178,dan.kaiser@smsu.edu,,Yes
Minnesota,7,"University of St. Thomas - St. Paul, Minnesota",6148,http://www.stthomas.edu/,http://www.stthomas.edu/cisc/,CISC 130 Introduction to Programming and Problem Solving in the Sciences_,http://www.stthomas.edu/cisc/majors/,C,http://courseweb.stthomas.edu/tpsturm/courses/ci130f10.html,(651) 962 5470,mewerness@stthomas.edu,,
Minnesota,8,Minnesota State University Moorhead,5731,https://www.mnstate.edu/,https://www.mnstate.edu/comcis/majorsandminors.aspx,CSIS 153_Introduction to Computers and Programming I-b,https://navigator.mnstate.edu/Catalog/ViewCatalog.aspx?pageid=viewcatalog&catalogid=12&chapterid=197&topicgroupid=1651&loaduseredits=False,Java,,218-477-2299,csis@mnstate.edu,Yes,
Minnesota,9,Bemidji State University,4754,http://www.bemidjistate.edu/,http://www.bemidjistate.edu/academics/departments/mathematics-computer-science/computer-science/,CS 2321 Computer Science I,http://www.bemidjistate.edu/academics/catalog/current/programs/bs__coms,C++,http://www.bemidjistate.edu/academics/catalog/20143/courses/cs (Click common course online to view pdf),(218) 755-2880,mwolf@bemidjistate.edu,,
Minnesota,10,St. Olaf College,3034,http://wp.stolaf.edu/,http://wp.stolaf.edu/mscs/,"CS 225- CS+,Accelerated Principles of Computer Science",http://wp.stolaf.edu/cs/overview-of-cs-courses/#CS1,C++,http://wp.stolaf.edu/cs/overview-of-cs-courses/#CS1,507-786-3414,zorn@stolaf.edu,,
Louisiana,1,"louisiana State University , Baton Rouge",26159,http://www.lsu.edu/,http://www.cse.lsu.edu/,CSC 1253 Computer Science I with C++,http://catalog.lsu.edu/content.php?filter[27]=CSC&filter[29]=&filter[course_type]=-1&filter[keyword]=&filter[32]=1&filter[cpage]=1&cur_cat_oid=12&expand=&navoid=865&search_database=Filter#acalog_template_course_filter,C++,http://catalog.lsu.edu/content.php?filter[27]=CSC&filter[29]=&filter[course_type]=-1&filter[keyword]=&filter[32]=1&filter[cpage]=1&cur_cat_oid=12&expand=&navoid=865&search_database=Filter#acalog_template_course_filter,(225) 578-1495,karki@csc.lsu.edu,,
Louisiana,2,University of Louisiana at Lafayette,"15,870",http://www.louisiana.edu/,http://computing.louisiana.edu/,150  INTRODUCTION TO COMPUTER SCIENCE.,http://computing.louisiana.edu/computer-sciences/computer-science/undergraduate/courses,Python,,(337) 482-6768,cmix@louisiana.edu,Yes,
Louisiana,3,"Southeastern Louisiana University,_Hammond",13567,http://www.southeastern.edu/,http://www.southeastern.edu/acad_research/depts/cs_it/,CMPS 161 Algorithm Design and Implementation I,http://www.southeastern.edu/acad_research/depts/cs_it/undergrad_degree/cmps/bscs_mappings.pdf,Java,,985-549-2189,Lu.Yuan@southeastern.edu,,Yes
Louisiana,4,"Louisiana Tech University,_Ruston",10696,http://www.latech.edu/,http://coes.latech.edu/cs/index.php/en/,CS 120 Introduction to Computer Programming,http://coes.latech.edu/cs/images/CS_PDFDocs/curriculum_cs.pdf,Java,,318-257-4921,info @cs.latech.edu,Yes,
Louisiana,5,"Tulane University, New Orleans",8339,http://tulane.edu/,http://tulane.edu/sse/,CMPS 1500 Introduction to Computer Science I,http://tulane.edu/sse/cs/academics/undergraduate/coordinate-major.cfm,Python,,504-865-5764,sse@tulane.edu,Yes,
Louisiana,6,University of Louisiana at Monroe,7550,http://www.ulm.edu/,http://www.ulm.edu/cbss/computerscience/,CSCI 2000 INTRODUCTION TO COMPUTER PROGRAMMING,http://www.ulm.edu/academics/catalogs/1213undergradcat.pdf,Python,,(318) 342-1855,cordova@ulm.edu,,Yes
Louisiana,7,"McNeese State University,_Lake Charles","7,465",http://www.mcneese.edu/,http://www.mcneese.edu/engineering/eecs,CSCI 004- Programming and Computing,http://catalog.mcneese.edu/content.php?filter%5B27%5D=CSCI&filter%5B29%5D=&filter%5Bcourse_type%5D=-1&filter%5Bkeyword%5D=&filter%5B32%5D=1&filter%5Bcpage%5D=1&cur_cat_oid=11&expand=&navoid=477&search_database=Filter#acalog_template_course_filter,FORTRAN,http://catalog.mcneese.edu/content.php?filter%5B27%5D=CSCI&filter%5B29%5D=&filter%5Bcourse_type%5D=-1&filter%5Bkeyword%5D=&filter%5B32%5D=1&filter%5Bcpage%5D=1&cur_cat_oid=11&expand=&navoid=477&search_database=Filter#acalog_template_course_filter,(337) 475-5854,eecs@mcneese.edu,,
Louisiana,8,University of New Orleans,"6,601",http://www.uno.edu/,http://www.uno.edu/cos/computer-science/,CSCI 1583 Software Design and Development I,http://cs.uno.edu/~jaime/Courses/1583/syl.pdf,Java,http://cs.uno.edu/~jaime/Courses/1583/syl.pdf,504-280-7370,adlai@cs.uno.edu,,
Louisiana,9,Southern University and A&M College,5281,http://www.subr.edu/,http://www.cmps.subr.edu/,CS190 PROGRAMMING TECHNIQUES AND ALGORITHM DEVELOPMENT I ,http://www.cmps.subr.edu/index.php/course-description,C++,,(225) 771-2060,allena@cmps.subr.edu,Yes,
Louisiana,10,Grambling State University,"3,583",http://www.gram.edu/,http://www.gram.edu/academics/majors/arts-and-sciences/compsci/,CS 110 Computer Science I_,http://www.gram.edu/academics/majors/arts-and-sciences/compsci/curriculum/,Java,,(318) 274-2421,ybreddy@gram.edu,Yes,
Kentucky,1,University of Kentucky,22223,http://www.uky.edu/,http://www.cs.uky.edu/,CS 115 Introduction to Computer Programming,http://www.uky.edu/registrar/Major-Sheets/MS1415/eng/cs.pdf,Python,,859-257-3961,info@cs.uky.edu,,Yes
Kentucky,2,Western Kentucky University,17452,https://www.wku.edu,https://www.wku.edu/cs,CS 245  INTRODUCTION TO A COMPUTER PROGRAMMING LANGAUGE,https://www.wku.edu/undergraduatecatalog/documents/15_16_ugrad_catalog/wku_15_16_ugrad_catalog.pdf,C,https://www.wku.edu/undergraduatecatalog/documents/15_16_ugrad_catalog/wku_15_16_ugrad_catalog.pdf,270-745-4642,cs@wku.edu,,
Kentucky,3,University of Louisville,15962,http://louisville.edu/,https://louisville.edu/speed/computer/,CECS 130 Introduction to Programming Languages,http://louisville.edu/online/programs/masters/master-of-science-in-computer-science/degree-map,C++,,(502) 852-6281,speed@louisville.edu,Yes,
Kentucky,4,Eastern Kentucky University,14376,http://www.eku.edu/,http://computerscience.eku.edu/,SC 190:  Object-Oriented Programming I,http://computerscience.eku.edu/course-descriptions,Java,,(859) 622-2398,ka-wing.wong@eku.edu,Yes,
Kentucky,5,Nothern Kentucky University,12809,http://www.nku.edu/,https://informatics.nku.edu/,INF 120 Elementary Programming,http://inside.nku.edu/content/dam/informatics/docs/checklists/2015-2016/CIT%20MAJOR%202011-2016.pdf,Python,,(859) 572-5566,informatics@nku.edu,,Yes
Kentucky,6,Morehead State University,9952,http://www.moreheadstate.edu/,http://www.moreheadstate.edu/csis/,"CIS 205 Introduction to
Programming C++",,C++,,606-783-2418,csis@moreheadstate.edu,Yes,
Kentucky,7,Murray State University,9444,www.murraystate.edu/,http://murraystate.edu/academics/CollegesDepartments/CollegeOfBusiness/Programs/CSIS/,CSC 340 (240) Programming in Java,http://murraystate.edu/academics/CollegesDepartments/CollegeOfBusiness/Programs/CSIS/CSISprograms/Courses.aspx,Java,,270-809-2094,vraj@murraystate.edu,,Yes
Kentucky,8,Bellarmine University,2585,http://www.bellarmine.edu,http://www.bellarmine.edu/cas/,CS 130 Programming Fundamentals,https://catalog.bellarmine.edu/2015-2016/dept/cs,Java,,502.272.8410,muzaffar.ali@bellarmine.edu,,Yes
Kentucky,9,Kentucky State University,2025,http://kysu.edu/,http://kysu.edu/academics/college-of-business-and-computer-science/computer-science/,COS 101 Programming in Visual BASIC,http://kysu.edu/administration-governance/academic-affairs/registrar/2015-2016-catalogue/courses-of-instruction/computer-science/,Visual BASIC,http://kysu.edu/administration-governance/academic-affairs/registrar/2015-2016-catalogue/courses-of-instruction/computer-science/,(502) 597-6384,compsci@kysu.edu,,
Kentucky,10,Transylvania University,1014,http://www2.transy.edu/,http://www2.transy.edu/programs/computerscience,CS 2124 Logic and Problem Solving,http://www2.transy.edu/programs/computerscience/courses.htm?CS,C++,http://www2.transy.edu/programs/computerscience/courses.htm?CS,(859) 233-8228,ctaraba@transy.edu,,
Maryland,1,"University of Maryland
College Park","27,056",http://www.umd.edu/,http://www.cs.umd.edu/,CMSC 131 - Object Oriented Programing I,http://www.cs.umd.edu/class/,Java,https://www.cs.umd.edu/class/fall2015/cmsc131/,(301) 405-2662,webmaster@cs.umd.edu,,
Maryland,2,Towson University,"18,807",http://www.towson.edu/,http://catalog.towson.edu/undergraduate/fisher-science-mathematics/computer-information-sciences/#majorstext,COSC 455 PROGRAMMING LANGUAGES: DESIGN & IMPLEMENTATION,http://catalog.towson.edu/undergraduate/fisher-science-mathematics/computer-information-sciences/computer-science/,C,,4107042633,mhackley@towson.edu,Yes,
Maryland,3,"University of Maryland
Baltimore County","11,379",http://www.umbc.edu/,http://www.csee.umbc.edu/programs/undergraduate/computer-science-bs/,CMSC 201 Computer Science I,http://www.csee.umbc.edu/wp-content/uploads/2013/06/ComputerScience4YearPlan_June2013.pdf,Python ,http://www.csee.umbc.edu/courses/undergraduate/201/fall14/schedule.shtml,1-410-455-3500,dept@cs.umbc.edu,,
Maryland,4,Morgan University,"6,302",http://www.morgan.edu/,http://www.morgan.edu/computerscience,INTRODUCTION TO COMPUTING (IM) - 16069 - COSC 110 - 004,http://www.morgan.edu/scmns,Python ,http://ssb.morgan.edu/prod/bwckschd.p_disp_detail_sched?term_in=201630&crn_in=13413,443-885-3962,dojiflav.stojkovic@morgan.edu,,
Maryland,5,Bowie state University,4456,http://www.bowiestate.edu/,http://www.bowiestate.edu/academics-research/colleges/college-arts-sciences/departments/computer-sci/undergrad/bs-comp-sci/,COSC 112 Computer Science I,http://www.bowiestate.edu/academics-research/colleges/college-arts-sciences/departments/computer-sci/courses/100-level/,Pascal,,301-860-3960,dcampbell@bowiestate.edu,Yes,
Maryland,6,Loyala University ,"4,084",http://www.loyola.edu/,http://www.loyola.edu/academic/computerscience/undergraduate/degrees/bs-degree,CS201 Computer Science I,http://www.loyola.edu/academic/computerscience/undergraduate/degrees/interdisciplinary,Python ,,410-617-2464,dlawrie@loyola.edu,Yes,
Maryland,7,Coppin University,"2,684",http://www.coppin.edu/,http://www.coppin.edu/mathcosc,COSC 199 Introduction to Computer Programming,http://www.coppin.edu/info/200131/academic_programs/62/all_academic_programs/16,Java,,410.951.3479,chbetow@coppin.edu,Yes,
Maryland,8,Mount St. Marys University,"1,810",http://www.msmary.edu/,http://msmary.edu/School_of_natural_science_and_math/Undergraduate_Programs/computer-science/index.html,CMSCI 120 Introduction to Computer Science I,http://msmary.edu/School_of_natural_science_and_math/Undergraduate_Programs/computer-science/cs-courses.html,Python ,,301-447-5291,butler@msmary.edu,,Yes
Maryland,9,McDaniel College,"1,740",http://www.mcdaniel.edu/,http://catalog.mcdaniel.edu/preview_program.php?catoid=24&poid=1791#,CSC 1106- the Art of Programming,http://catalog.mcdaniel.edu/preview_entity.php?catoid=24&ent_oid=434&returnto=1235,Java,,410 8487000,shamblen@mcdaniel.edu,,Yes
Maryland,10,Hood College,"1,388",http://www.hood.edu/,http://cs.hood.edu/academic-programs/computer-science-bs,CS 201  Computer Science I,http://hood.smartcatalogiq.com/en/2015-2016/Catalog/Undergraduate-Courses/CS-Computer-Science/200/CS-201,Java,,301663 3131,cs@hood.edu,,Yes
Michigan,1,Michigan State University,"38,786",http://www.egr.msu.edu/,http://www.egr.msu.edu/sites/default/files/content/UGS/MSU_CoEngr_ComputerScience_rev2.pdf,CSE 231 Introduction to Programming I,http://www.egr.msu.edu/sites/default/files/content/UGS/MSU_CoEngr_ComputerScience_rev2.pdf,Python,,517 355-6616,kempel@egr.msu.edu,Yes,
Michigan,2,Grand Valley State University,"21,253",https://www.gvsu.edu/,http://www.cis.gvsu.edu/degree-programs/,CIS 162_Computer Science I,http://www.cis.gvsu.edu/computer-science-major/,Java,http://www.cis.gvsu.edu/~scrippsj/cs162/cis162.htm,616.331.2060,info@cis.gvsu.edu,,Yes
Michigan,3,Central Michigan University,20671,https://go.cmich.edu/Pages/default.aspx,https://go.cmich.edu/academics/Undergraduate/Find_Program/Pages/Computer_Science.aspx,CPS 180 Principles of Computer Programming,CPS 180 Principles of Computer Programming,C,,(989) 774-3774,cmuadmit@cmich.edu,Yes,
Michigan,4,Western Michigan University,"18,889",http://www.wmich.edu/,http://wmich.edu/cs,CS 1106_- Computational Thinking,http://wmich.edu/cs/academics/undergraduate/bs-cs,C,http://catalog.wmich.edu/search_advanced.php?filter[keyword]=CS+1106&filter[3]=1&filter[exact_match]=1&filter[31]=1&sorting_type=2, (269) 276-3118,http://www.cs.wmich.edu,,
Michigan,5,"Wayne state university, Detroit, Michigan","18,347",http://wayne.edu/,http://engineering.wayne.edu/cs/,CSC 1100 Problem solving and Programming ,CSC 1100 Problem solving and Programming ,C++,,(313) 577-2477,csdept@wayne.edu,,Yes
Michigan,6,Eastern Michigan University,"18,340",http://www.emich.edu/,http://catalog.emich.edu/preview_program.php?catoid=18&poid=9246,COSC 111 - Introduction to Programming,http://catalog.emich.edu/preview_program.php?catoid=18&poid=9245,Java,http://catalog.emich.edu/preview_program.php?catoid=18&poid=9245,734.487.1063,cs@emich.edu,,Yes
Michigan,7,Oakland University,"16,935",http://www.oakland.edu/,http://catalog.oakland.edu/preview_program.php?catoid=17&poid=1929&returnto=1157,CSE 142 - Introduction to C Programming and Unix_,http://wwwp.oakland.edu/secs/departments/computer-science-and-engineering/,C,http://catalog.oakland.edu/preview_program.php?catoid=17&poid=1929&returnto=1157,(248) 370-2200,SECSDean@oakland.edu_,,
Michigan,8,Saginaw Valley State University,"8,930",http://www.svsu.edu/,http://svsu.edu/computerscience/,CS 146 - Computer Programming I,http://svsu.edu/computerscience/cscoursesequence/,VB.Net,http://catalog.svsu.edu/preview_course_nopop.php?catoid=20&coid=33799   and  http://catalog.svsu.edu/preview_course_nopop.php?catoid=8&coid=13870,(989) 964-2044,icho@svsu.edu,,Yes
Michigan,9,Northern Michigan University,8001,http://www.nmu.edu/,http://www.nmu.edu/mathandcomputerscience/,CS 120  Computer Science I,http://www.nmu.edu/bulletin1516/node/78?page=&action=courseid&phase=phase1&elementid=23465,Java,,906.227.2020,math_cs@nmu.edu,,Yes
Michigan,10,Kalamazoo college,"1,461",http://www.kzoo.edu/,http://www.kzoo.edu/programs/?id=9,COMP108Introduction to Scientific Computing,http://www.kzoo.edu/programs/?id=9&type=2,C,http://www.kzoo.edu/programs/?id=9&type=2,269-337-7064,pcutter@kzoo.edu,,
